sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
GigaDevice Semiconductor Inc.,GigaDevice SPI NOR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
Infineon Technologies AG,Infineon SEMPER NOR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
Infineon Technologies AG,Infineon SEMPER X1 LPDDR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
"Macronix International Co., Ltd.",Macronix Parallel NOR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
"Macronix International Co., Ltd.",Macronix Serial NOR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
Winbond Electronics Corporation,Winbond W25Q QSPI NOR Flash,公司生产供给NOR Flash,公司,NOR Flash,生产供给
