nameCn,nameEn,objectTypeName,description,property.statistic_period,property.capacity_value,property.wafer_size,property.market_region,property.data_source,property.company_name,property.segment,property.metric_name,property.previous_period_value,property.next_period_value
Systems on Silicon Manufacturing Co. Pte. Ltd. (SSMC) 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,98000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Systems on Silicon Manufacturing Co. Pte. Ltd. (SSMC),foundry,foundry_installed_capacity,,
Systems on Silicon Manufacturing Co. Pte. Ltd. (SSMC) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,98000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Systems on Silicon Manufacturing Co. Pte. Ltd. (SSMC),all,installed_wafer_capacity,,
TSMC 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,3729500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,foundry,foundry_installed_capacity,,
TSMC 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,3732875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,总计,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 003-005 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,920250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,003-005,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 006-007 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,270000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,006-007,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 011-016 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,464625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,011-016,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 021-033 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,675000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,021-033,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 034-046 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,675000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,034-046,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,235000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,080-130,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity 131-350 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,268000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,131-350,capacity_by_geometry,,
TSMC 2026Q4 geometry capacity ≤0.02μm (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,216000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,≤0.02μm,capacity_by_geometry,,
TSMC 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,3732875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,all,installed_wafer_capacity,3532375,3933125
TSMC 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,3184875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,逻辑与微器件,logic_micro_capacity,,
TYSiC 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,46875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TYSiC,all,installed_wafer_capacity,,
Taiwan-Asia Semiconductor Corporation (TASC) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,79250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Taiwan-Asia Semiconductor Corporation (TASC),all,installed_wafer_capacity,,
Texas Instruments 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,768875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Texas Instruments,总计,capacity_by_geometry,,
Texas Instruments 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,412000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Texas Instruments,080-130,capacity_by_geometry,,
Texas Instruments 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,768875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Texas Instruments,all,installed_wafer_capacity,721625,825125
Toshiba (TDSC) 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,321875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),总计,capacity_by_geometry,,
Toshiba (TDSC) 2026Q4 geometry capacity 131-350 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,148625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),131-350,capacity_by_geometry,,
Toshiba (TDSC) 2026Q4 geometry capacity 810-1300 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,173250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),810-1300,capacity_by_geometry,,
Toshiba (TDSC) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,321875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),all,installed_wafer_capacity,,
Tower Partners Semiconductor (TPSCo) 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,87000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Tower Partners Semiconductor (TPSCo),foundry,foundry_installed_capacity,,
Tower Partners Semiconductor (TPSCo) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,87000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Tower Partners Semiconductor (TPSCo),all,installed_wafer_capacity,,
TowerJazz Semiconductors Ltd. 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,139000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TowerJazz Semiconductors Ltd.,foundry,foundry_installed_capacity,,
TowerJazz Semiconductors Ltd. 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,139000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TowerJazz Semiconductors Ltd.,总计,capacity_by_geometry,,
TowerJazz Semiconductors Ltd. 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,139000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TowerJazz Semiconductors Ltd.,all,installed_wafer_capacity,,
Tyntek Corporation 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,58125,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Tyntek Corporation,all,installed_wafer_capacity,,
UMC 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,1002843.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,foundry,foundry_installed_capacity,,
UMC 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1002843.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,总计,capacity_by_geometry,,
UMC 2026Q4 geometry capacity 021-033 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,257625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,021-033,capacity_by_geometry,,
UMC 2026Q4 geometry capacity 034-046 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,256500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,034-046,capacity_by_geometry,,
UMC 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,279250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,080-130,capacity_by_geometry,,
UMC 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,1002843.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,all,installed_wafer_capacity,973593.75,1032093.75
UMC 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,626625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,逻辑与微器件,logic_micro_capacity,,
Unisonic Technologies 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,95625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Unisonic Technologies,foundry,foundry_installed_capacity,,
Unisonic Technologies 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,151875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Unisonic Technologies,总计,capacity_by_geometry,,
Unisonic Technologies 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,151875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Unisonic Technologies,all,installed_wafer_capacity,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026Q4 foundry installed capacity foundry (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,406250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",foundry,foundry_installed_capacity,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026Q4 geometry capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,406250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",总计,capacity_by_geometry,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026Q4 geometry capacity 080-130 (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,225000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",080-130,capacity_by_geometry,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026Q4 geometry capacity 131-350 (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,181250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",131-350,capacity_by_geometry,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026Q4 installed wafer capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,406250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",all,installed_wafer_capacity,,
Vanguard International Semiconductor (VIS) 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,326500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),foundry,foundry_installed_capacity,,
Vanguard International Semiconductor (VIS) 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,326500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),总计,capacity_by_geometry,,
Vanguard International Semiconductor (VIS) 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,307500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),080-130,capacity_by_geometry,,
Vanguard International Semiconductor (VIS) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,326500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),all,installed_wafer_capacity,,
Vishay Intertechnology 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,77634.375,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vishay Intertechnology,all,installed_wafer_capacity,,
Western Digital 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,41250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Western Digital,all,installed_wafer_capacity,,
Winbond Electronic Corporation 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,186750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Winbond Electronic Corporation,总计,capacity_by_geometry,,
Winbond Electronic Corporation 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,186750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Winbond Electronic Corporation,all,installed_wafer_capacity,,
Winbond Electronic Corporation 2026Q4 memory capacity 存储器 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 memory capacity observation.,2026Q4,186750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Winbond Electronic Corporation,存储器,memory_capacity,,
Wingtech 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,94500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wingtech,foundry,foundry_installed_capacity,,
Wingtech 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,94500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wingtech,all,installed_wafer_capacity,,
Wolfspeed 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,250187.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wolfspeed,all,installed_wafer_capacity,,
Wuhan Chuxing Technology 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,92250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wuhan Chuxing Technology,foundry,foundry_installed_capacity,,
Wuhan Chuxing Technology 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,92250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wuhan Chuxing Technology,all,installed_wafer_capacity,,
X-FAB Silicon Foundries 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,122312.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,X-FAB Silicon Foundries,foundry,foundry_installed_capacity,,
X-FAB Silicon Foundries 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,122312.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,X-FAB Silicon Foundries,all,installed_wafer_capacity,,
XMC 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,144000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,foundry,foundry_installed_capacity,,
XMC 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,144000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,总计,capacity_by_geometry,,
XMC 2026Q4 geometry capacity 034-046 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,144000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,034-046,capacity_by_geometry,,
XMC 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,144000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,all,installed_wafer_capacity,,
XMC 2026Q4 memory capacity 存储器 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 memory capacity observation.,2026Q4,144000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,存储器,memory_capacity,,
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026Q4 geometry capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,416250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",总计,capacity_by_geometry,,
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026Q4 geometry capacity 017-020 (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,416250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",017-020,capacity_by_geometry,,
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026Q4 installed wafer capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,416250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",all,installed_wafer_capacity,,
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026Q4 memory capacity 存储器 (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 memory capacity observation.,2026Q4,416250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",存储器,memory_capacity,,
Yangzhou Yangjie Electronic Technology 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,120093.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Yangzhou Yangjie Electronic Technology,all,installed_wafer_capacity,,
Yokogawa Electric 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,781.25,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Yokogawa Electric,逻辑与微器件,logic_micro_capacity,,
Zensemi 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,74250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zensemi,foundry,foundry_installed_capacity,,
Zensemi 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,74250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zensemi,all,installed_wafer_capacity,,
Zhuzhou CRRC Times Electric 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,52187.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zhuzhou CRRC Times Electric,all,installed_wafer_capacity,,
ams-OSRAM 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,125062.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,ams-OSRAM,all,installed_wafer_capacity,,
onsemi 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,411187.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,onsemi,总计,capacity_by_geometry,,
onsemi 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,463500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,onsemi,all,installed_wafer_capacity,457875,475250
总计 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,14005143.1875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,foundry,foundry_installed_capacity,,
总计 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,35463083.15219776,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,总计,capacity_by_geometry,,
总计 2026Q4 geometry capacity 003-005 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1290712.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,003-005,capacity_by_geometry,,
总计 2026Q4 geometry capacity 006-007 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,714712.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,006-007,capacity_by_geometry,,
总计 2026Q4 geometry capacity 008-010 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,138165.625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,008-010,capacity_by_geometry,,
总计 2026Q4 geometry capacity 011-016 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,5550828.215,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,011-016,capacity_by_geometry,,
总计 2026Q4 geometry capacity 017-020 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,3460578.593406594,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,017-020,capacity_by_geometry,,
总计 2026Q4 geometry capacity 021-033 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,4203488.25,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,021-033,capacity_by_geometry,,
总计 2026Q4 geometry capacity 034-046 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,2341575,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,034-046,capacity_by_geometry,,
总计 2026Q4 geometry capacity 047-079 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1873881.25,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,047-079,capacity_by_geometry,,
总计 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,5766300.000041177,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,080-130,capacity_by_geometry,,
总计 2026Q4 geometry capacity 131-350 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,4288148.03125,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,131-350,capacity_by_geometry,,
总计 2026Q4 geometry capacity 1310 up (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,2204502.34375,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,1310 up,capacity_by_geometry,,
总计 2026Q4 geometry capacity 351-800 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1749709.90625,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,351-800,capacity_by_geometry,,
总计 2026Q4 geometry capacity 810-1300 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1384580.9375,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,810-1300,capacity_by_geometry,,
总计 2026Q4 geometry capacity ≤0.02μm (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,495900,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,≤0.02μm,capacity_by_geometry,,
