nameCn,nameEn,objectTypeName,description,property.statistic_period,property.capacity_value,property.wafer_size,property.market_region,property.data_source,property.company_name,property.segment,property.metric_name,property.previous_period_value,property.next_period_value
Renesas 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,285687.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Renesas,all,installed_wafer_capacity,,
Renesas 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,198500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Renesas,逻辑与微器件,logic_micro_capacity,,
Resonac 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,36937.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Resonac,all,installed_wafer_capacity,,
Rohm 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,162812.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rohm,总计,capacity_by_geometry,,
Rohm 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,162812.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rohm,all,installed_wafer_capacity,,
Rohm 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,86750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rohm,逻辑与微器件,logic_micro_capacity,,
Rong Semi (former HIDM Tacoma) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,45000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rong Semi (former HIDM Tacoma),all,installed_wafer_capacity,,
SK Hynix 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,120000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,foundry,foundry_installed_capacity,,
SK Hynix 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,2115750.708791209,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,总计,capacity_by_geometry,,
SK Hynix 2026Q4 geometry capacity 011-016 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,969750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,011-016,capacity_by_geometry,,
