sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
GigaDevice Semiconductor Inc.,GigaDevice SPI NAND Flash,公司生产供给NAND Flash,公司,NAND Flash,生产供给
KIOXIA Corporation,KIOXIA BiCS FLASH,公司生产供给NAND Flash,公司,NAND Flash,生产供给
KIOXIA Corporation,KIOXIA SLC NAND Flash,公司生产供给NAND Flash,公司,NAND Flash,生产供给
Micron Technology Inc.,Micron NAND flash memory,公司生产供给NAND Flash,公司,NAND Flash,生产供给
Samsung Electronics Co. Ltd.,Samsung V-NAND,公司生产供给NAND Flash,公司,NAND Flash,生产供给
Western Digital Corporation,Western Digital BiCS5 3D NAND,公司生产供给NAND Flash,公司,NAND Flash,生产供给
"Yangtze Memory Technologies Co., Ltd.",YMTC Gen5 3D NAND X4-6080,公司生产供给NAND Flash,公司,NAND Flash,生产供给
"Yangtze Memory Technologies Co., Ltd.",YMTC Gen5 3D NAND X4-9070,公司生产供给NAND Flash,公司,NAND Flash,生产供给
"Yangtze Memory Technologies Co., Ltd.",YMTC Xtacking 3D NAND,公司生产供给NAND Flash,公司,NAND Flash,生产供给
