company_name,metric_name,metric_period,metric_value,unit,product_type,source_doc,source_sheet,confidence,notes
TSMC,construction_spending,2026,12800,USD million,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,high,Left-side table row 11 in SEMI WFF 2026 Q1.
Samsung,construction_spending,2026,4425,USD million,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,high,Left-side table row 13 in SEMI WFF 2026 Q1.
Micron,construction_spending,2026,2745,USD million,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,high,Left-side table row 14 in SEMI WFF 2026 Q1.
SMIC,construction_spending,2026,1050,USD million,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,high,Left-side table row 16 in SEMI WFF 2026 Q1.
