company_name,metric_name,metric_period,metric_value,unit,product_type,source_doc,source_sheet,confidence,notes
Samsung,installed_capacity,4Q2026,3743488.34,200mm_equivalent_wafers_per_month,total,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Capacity by Company,high,Row 11 in SEMI WFF 2026 Q1.
TSMC,installed_capacity,4Q2026,3732875,200mm_equivalent_wafers_per_month,total,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Capacity by Company,high,Row 12 in SEMI WFF 2026 Q1.
Micron,installed_capacity,4Q2026,1386000,200mm_equivalent_wafers_per_month,total,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Capacity by Company,high,Row 14 in SEMI WFF 2026 Q1.
SMIC,installed_capacity,4Q2026,1153750,200mm_equivalent_wafers_per_month,total,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Capacity by Company,high,Row 16 in SEMI WFF 2026 Q1.
Samsung,installed_capacity,4Q2026,2838375.84,200mm_equivalent_wafers_per_month,存储器,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Cap by Product Type 2026,high,Row 12 memory capacity.
Micron,installed_capacity,4Q2026,1386000,200mm_equivalent_wafers_per_month,存储器,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Cap by Product Type 2026,high,Row 15 memory capacity.
SMIC,installed_capacity,4Q2026,632250,200mm_equivalent_wafers_per_month,逻辑与微器件,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Cap by Product Type 2026,high,Row 17 logic and microdevices capacity.
