nameCn,nameEn,objectTypeName,description,source_url
GigaDevice SPI NAND Flash,,NAND Flash,GigaDevice SPI NAND Flash product family.,https://www.gigadevice.com/product/flash/spi-nand-flash
Micron NAND flash memory,,NAND Flash,Micron NAND flash memory product family.,https://www.micron.com/products/storage/nand-flash
Micron 9400 PRO 15.36TB NVMe SSD,,NAND Flash,Micron 9400 PRO 15.36TB NVMe SSD price-bearing instance for NAND Flash.,https://www.cdw.com/product/micron-9400-pro-ssd-enterprise-15360-gb-u.3-pcie-4.0-x4-nvme/7299362
Samsung 990 PRO 4TB SSD,,NAND Flash,Samsung 990 PRO 4TB SSD price-bearing instance for NAND Flash.,https://www.amazon.com/SAMSUNG-Computing-Workstations-MZ-V9P4T0B-AM/dp/B0CHGT1KFJ
