sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 1 (GPP) current wafer capacity (SEMI WFF)","Anhui Anxin Electronic Technology Co., Ltd. - Fab 1 (GPP)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 2 (5inch) current wafer capacity (SEMI WFF)","Anhui Anxin Electronic Technology Co., Ltd. - Fab 2 (5inch)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 3 (6inch line) current wafer capacity (SEMI WFF)","Anhui Anxin Electronic Technology Co., Ltd. - Fab 3 (6inch line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Anhui RiChips - Hefei fab current wafer capacity (SEMI WFF),Anhui RiChips - Hefei fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Anhui YOFC Advanced Semiconductor (YASC) - Wuhan Fab current wafer capacity (SEMI WFF),Anhui YOFC Advanced Semiconductor (YASC) - Wuhan Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Anhui YOFC Advanced Semiconductor (YASC) - Wuhu Fab current wafer capacity (SEMI WFF),Anhui YOFC Advanced Semiconductor (YASC) - Wuhu Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AOS - Jireh Semiconductor current wafer capacity (SEMI WFF),AOS - Jireh Semiconductor,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AOS - Chongqing fab (phase 2) current wafer capacity (SEMI WFF),AOS - Chongqing fab (phase 2),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AOS - Chongqing fab (phase 1) current wafer capacity (SEMI WFF),AOS - Chongqing fab (phase 1),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aosong Electronics (ASAIR) - Chongqing 200mm fab current wafer capacity (SEMI WFF),Aosong Electronics (ASAIR) - Chongqing 200mm fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aosong Electronics (ASAIR) - MEMS fab (Phase 1 + 2) current wafer capacity (SEMI WFF),Aosong Electronics (ASAIR) - MEMS fab (Phase 1 + 2),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
