nameCn,nameEn,objectTypeName,description,property.wafer_size,property.deposition_rate,property.film_uniformity,property.target_count,property.substrate_temperature_range,source_url
Applied Endura PVD,,PVD沉积机,Applied Materials official product page for Endura PVD.,,,,,,https://www.appliedmaterials.com/us/en/product-library/endura-pvd.html
Applied Endura Ventura PVD,,PVD沉积机,Applied Materials official product page for Endura Ventura PVD.,,,,,,https://www.appliedmaterials.com/us/en/product-library/endura-ventura-pvd.html
