nameCn,nameEn,objectTypeName,description,source_url
Intel Xeon 6980P,,CPU,Intel Xeon 6980P price-bearing instance for CPU.,https://www.intel.com/content/www/us/en/products/sku/240777/intel-xeon-6980p-processor-504m-cache-2-00-ghz/ordering.html
Intel Xeon 6780E,,CPU,Intel Xeon 6780E price-bearing instance for CPU.,https://www.intel.com/content/www/us/en/products/sku/240362/intel-xeon-6780e-processor-108m-cache-2-20-ghz/ordering.html
AMD EPYC 9965,,CPU,AMD EPYC 9965 price-bearing instance for CPU.,https://www.tomshardware.com/pc-components/cpus/retailers-quietly-slash-prices-of-amds-and-intels-latest-epyc-and-xeon-cpus-by-up-to-50-percent-inexplicable-price-drops-left-unexplained
