sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
FLCT Communication Technology - Fab 1 (Pilot and R&D) project capital expenditure (SEMI WFF),FLCT Communication Technology - Fab 1 (Pilot and R&D),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer FEP/COMEDD - OLED ORR (Building 3) Fraunhofer project capital expenditure (SEMI WFF),Fraunhofer FEP/COMEDD - OLED ORR (Building 3) Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer Institute for Integrated Systems and Device Technology - FhG (IISB) Fraunhofer project capital expenditure (SEMI WFF),Fraunhofer Institute for Integrated Systems and Device Technology - FhG (IISB) Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer Institute for Integrated Systems and Device Technology - LEB Fraunhofer project capital expenditure (SEMI WFF),Fraunhofer Institute for Integrated Systems and Device Technology - LEB Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer Institute for Microelectronic Circuits and Systems - CMOS Factory Fraunhofer project capital expenditure (SEMI WFF),Fraunhofer Institute for Microelectronic Circuits and Systems - CMOS Factory Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer Institute for Microelectronic Circuits and Systems - MST Lab: Microsystems Technology Lab&Fab Fraunhofer project capital expenditure (SEMI WFF),Fraunhofer Institute for Microelectronic Circuits and Systems - MST Lab: Microsystems Technology Lab&Fab Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fraunhofer Institute for Photonic Microsystems IPMS - Center Nanoelectronics Technologies (CNT) project capital expenditure (SEMI WFF),Fraunhofer Institute for Photonic Microsystems IPMS - Center Nanoelectronics Technologies (CNT),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fuji Electric - Development Center project capital expenditure (SEMI WFF),Fuji Electric - Development Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Fujian Sunwise - Sunwise Fab1 (R&D) project capital expenditure (SEMI WFF),Fujian Sunwise - Sunwise Fab1 (R&D),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
GE - Research - GE Research Microfabrication project capital expenditure (SEMI WFF),GE - Research - GE Research Microfabrication,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
