sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
AUK Corporation - D1 and D2 Lines project capital expenditure (SEMI WFF),AUK Corporation - D1 and D2 Lines,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AVIC Kaimai (Shanghai) - InSb Fab project capital expenditure (SEMI WFF),AVIC Kaimai (Shanghai) - InSb Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
AWSC (Advanced Wireless Semiconductor Co.) - Module 1 project capital expenditure (SEMI WFF),AWSC (Advanced Wireless Semiconductor Co.) - Module 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AWSC (Advanced Wireless Semiconductor Co.) - Module 2 project capital expenditure (SEMI WFF),AWSC (Advanced Wireless Semiconductor Co.) - Module 2,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BAE Systems - BAE Systems Imaging Solutions project capital expenditure (SEMI WFF),BAE Systems - BAE Systems Imaging Solutions,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BAE Systems - Advanced Microwave Products (AMP) Center project capital expenditure (SEMI WFF),BAE Systems - Advanced Microwave Products (AMP) Center,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing MXTronics Corp. - Beijing fab project capital expenditure (SEMI WFF),Beijing MXTronics Corp. - Beijing fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - new 300mm fab project capital expenditure (SEMI WFF),Beijing Yandong (YDME) - new 300mm fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
"BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2) project capital expenditure (SEMI WFF)","BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2)",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bi-CMOS Foundry - Bi-CMOS Foundry project capital expenditure (SEMI WFF),Bi-CMOS Foundry - Bi-CMOS Foundry,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
