nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
Beijing Yandong (YDME) - new 300mm fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,4700,USD million,project,project_total_cost,中国,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Beijing Yandong (YDME),,,Beijing Yandong (YDME) - new 300mm fab,6625,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
"BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2) project capital expenditure (SEMI WFF)",,资本开支,SEMI WFF 工厂级资本开支观测。,50,USD million,project,project_total_cost,Europe & Mideast,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,BelGaN (Belgium GaN),,,"BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2)",6281,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bi-CMOS Foundry - Bi-CMOS Foundry project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,25,USD million,project,project_total_cost,美洲,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bi-CMOS Foundry,,,Bi-CMOS Foundry - Bi-CMOS Foundry,2474,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
BluGlass Limited - EpiBlu project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,12,USD million,project,project_total_cost,SE Asia,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,BluGlass Limited,,,BluGlass Limited - EpiBlu,3786,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bosch - MEMS fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,2.4,USD million,project,project_total_cost,Europe & Mideast,MEMS,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bosch,,,Bosch - MEMS fab,836,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bosch - 200mm Wafer fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,19,USD million,project,project_total_cost,Europe & Mideast,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bosch,,,Bosch - 200mm Wafer fab,2323,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bosch - Phase C of expansion plan: 200mm line project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,345,USD million,project,project_total_cost,Europe & Mideast,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bosch,,,Bosch - Phase C of expansion plan: 200mm line,6447,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bosch - M-Line + K-Line (merged March 2023) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,1650,USD million,project,project_total_cost,美洲,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bosch,,,Bosch - M-Line + K-Line (merged March 2023),695,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bosch - 150mm SiC Line project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,3,USD million,project,project_total_cost,Europe & Mideast,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bosch,,,Bosch - 150mm SiC Line,6142,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bourns Ltd. - Fab 1 project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,10,USD million,project,project_total_cost,Europe & Mideast,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bourns Ltd.,,,Bourns Ltd. - Fab 1,1901,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
BRIDG - BRIDG (used also by Skywater) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,160,USD million,project,project_total_cost,美洲,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,BRIDG,,,BRIDG - BRIDG (used also by Skywater),3716,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Bridgelux - Livermore project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,20,USD million,project,project_total_cost,美洲,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Bridgelux,,,Bridgelux - Livermore,3334,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Brightintelligence Technologies - Zhong Shan fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,28,USD million,project,project_total_cost,中国,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Brightintelligence Technologies,,,Brightintelligence Technologies - Zhong Shan fab,5049,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,14,USD million,project,project_total_cost,美洲,MEMS,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Broadcom (was Avago),,,Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line),250,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Broadcom (was Avago) - Avago Yishun project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,23,USD million,project,project_total_cost,SE Asia,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Broadcom (was Avago),,,Broadcom (was Avago) - Avago Yishun,262,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Brookhaven National Laboratory (BNL) - Center for Functional Nanomaterials  CFN project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,135,USD million,project,project_total_cost,美洲,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Brookhaven National Laboratory (BNL),,,Brookhaven National Laboratory (BNL) - Center for Functional Nanomaterials  CFN,3575,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
BYD Co. Ltd - Jinan fab (was Jinan Energen) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,15.5,USD million,project,project_total_cost,中国,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,BYD Co. Ltd,,,BYD Co. Ltd - Jinan fab (was Jinan Energen),5100,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
BYD Co. Ltd - Changsha fab (new line in existing fab) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,5.4,USD million,project,project_total_cost,中国,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,BYD Co. Ltd,,,BYD Co. Ltd - Changsha fab (new line in existing fab),6157,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Cactus Materials - Wafer Processing Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,144,USD million,project,project_total_cost,美洲,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Cactus Materials,,,Cactus Materials - Wafer Processing Fab,1263,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Canadian Photonics Fabrication Centre (CPFC) - CPFC project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,45,USD million,project,project_total_cost,美洲,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Canadian Photonics Fabrication Centre (CPFC),,,Canadian Photonics Fabrication Centre (CPFC) - CPFC,3145,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Canon - Ayase Plant project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,70,USD million,project,project_total_cost,日本,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Canon,,,Canon - Ayase Plant,2822,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Canon - Kawasaki works project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,490,USD million,project,project_total_cost,日本,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Canon,,,Canon - Kawasaki works,3839,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Canon - Oita plant project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,110,USD million,project,project_total_cost,日本,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Canon,,,Canon - Oita plant,3253,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Canon - Kawasaki new 12inch R&D Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,1300,USD million,project,project_total_cost,日本,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Canon,,,Canon - Kawasaki new 12inch R&D Fab,6507,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
CanSemi - Cansemi Phase 4 project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,4810,USD million,project,project_total_cost,中国,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,CanSemi,,,CanSemi - Cansemi Phase 4,6510,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Cengol Semiconductor (Century Goldray) - SiC Wafer and Device Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,120,USD million,project,project_total_cost,中国,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Cengol Semiconductor (Century Goldray),,,Cengol Semiconductor (Century Goldray) - SiC Wafer and Device Fab,5083,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Cengol Semiconductor (Century Goldray) - Hefei SiC Wafer Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,15.6,USD million,project,project_total_cost,中国,EPI,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Cengol Semiconductor (Century Goldray),,,Cengol Semiconductor (Century Goldray) - Hefei SiC Wafer Fab,6152,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Central Vocational Training Center (CVTC) - Fab 1 project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,20,USD million,project,project_total_cost,中国台湾,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Central Vocational Training Center (CVTC),,,Central Vocational Training Center (CVTC) - Fab 1,2142,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Changzhou Chemsemi - Fab 2 (SAW Line) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,422,USD million,project,project_total_cost,中国,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Changzhou Chemsemi,,,Changzhou Chemsemi - Fab 2 (SAW Line),6542,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Changzhou Chemsemi - Fab 1 (VCSEL Line) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,130,USD million,project,project_total_cost,中国,Other,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Changzhou Chemsemi,,,Changzhou Chemsemi - Fab 1 (VCSEL Line),6541,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Chengdu HiWafer Semiconductor - HiWafer fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,70,USD million,project,project_total_cost,中国,Analog,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Chengdu HiWafer Semiconductor,,,Chengdu HiWafer Semiconductor - HiWafer fab,3847,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
China Electronics Technology Group Corporation (CETC) - 13th Research Institute project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,15,USD million,project,project_total_cost,中国,MEMS,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,China Electronics Technology Group Corporation (CETC),,,China Electronics Technology Group Corporation (CETC) - 13th Research Institute,3794,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Chongqing Xinling Microelectronics - Chongqing Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,330,USD million,project,project_total_cost,中国,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Chongqing Xinling Microelectronics,,,Chongqing Xinling Microelectronics - Chongqing Fab,6643,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Chunghwa Leading Photonics Tech (CLPT) - Yangmei fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,10,USD million,project,project_total_cost,中国台湾,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Chunghwa Leading Photonics Tech (CLPT),,,Chunghwa Leading Photonics Tech (CLPT) - Yangmei fab,3917,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
"Citizen Holdings Co., Ltd. - Yamanashi plant project capital expenditure (SEMI WFF)",,资本开支,SEMI WFF 工厂级资本开支观测。,40,USD million,project,project_total_cost,日本,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,"Citizen Holdings Co., Ltd.",,,"Citizen Holdings Co., Ltd. - Yamanashi plant",3911,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Clas-SiC Wafer Fab - Lochgelly fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,40,USD million,project,project_total_cost,Europe & Mideast,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Clas-SiC Wafer Fab,,,Clas-SiC Wafer Fab - Lochgelly fab,6503,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Fab 1 (was Epiworks) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,18,USD million,project,project_total_cost,美洲,EPI,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Fab 1 (was Epiworks),2416,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
"Coherent (was II-VI Incorporated) - Fremont (was Finisar, was Genoa) project capital expenditure (SEMI WFF)",,资本开支,SEMI WFF 工厂级资本开支观测。,15,USD million,project,project_total_cost,美洲,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,"Coherent (was II-VI Incorporated) - Fremont (was Finisar, was Genoa)",4992,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
"Coherent (was II-VI Incorporated) - Sherman (was Finisar, was MEMC) project capital expenditure (SEMI WFF)",,资本开支,SEMI WFF 工厂级资本开支观测。,152,USD million,project,project_total_cost,美洲,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,"Coherent (was II-VI Incorporated) - Sherman (was Finisar, was MEMC)",4993,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
"Coherent (was II-VI Incorporated) - Fab 1 (was Finisar, was Svedice AB) project capital expenditure (SEMI WFF)",,资本开支,SEMI WFF 工厂级资本开支观测。,10,USD million,project,project_total_cost,Europe & Mideast,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,"Coherent (was II-VI Incorporated) - Fab 1 (was Finisar, was Svedice AB)",2267,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Zurich project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,23,USD million,project,project_total_cost,Europe & Mideast,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Zurich,1656,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Anadigics GaAs fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,90,USD million,project,project_total_cost,美洲,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Anadigics GaAs fab,1433,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Newton Aycliffe (was Compound Photonics) project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,73,USD million,project,project_total_cost,Europe & Mideast,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Newton Aycliffe (was Compound Photonics),1723,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Project Device Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,1650,USD million,project,project_total_cost,美洲,Discrete,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Project Device Fab,6440,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Project Wafer Fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,1205,USD million,project,project_total_cost,美洲,EPI,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Project Wafer Fab,6441,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Coherent (was II-VI Incorporated) - Jarfalla 6-inch line project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,96,USD million,project,project_total_cost,Europe & Mideast,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,,Coherent (was II-VI Incorporated) - Jarfalla 6-inch line,6560,Project Spending,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Colibrys Sa - N/A project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,18,USD million,project,project_total_cost,Europe & Mideast,MEMS,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Colibrys Sa,,,Colibrys Sa - N/A,1915,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Compound Photonics - Madison fab project capital expenditure (SEMI WFF),,资本开支,SEMI WFF 工厂级资本开支观测。,20,USD million,project,project_total_cost,美洲,Opto,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Compound Photonics,,,Compound Photonics - Madison fab,2188,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
