nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
Hewlett-Packard Company 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,8,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hewlett-Packard Company,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Hewlett-Packard Company 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hewlett-Packard Company,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Hua Hong Semiconductor 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Hong Semiconductor,0,200,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Hua Hong Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2518,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Hong Semiconductor,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Hua Li Microelectronics (HLMC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,1400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Li Microelectronics (HLMC),1000,500,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Hua Li Microelectronics (HLMC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,3774,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Li Microelectronics (HLMC),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
IMEC 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,110,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,IMEC,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
IMEC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1000,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,IMEC,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Infineon 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,565,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Infineon,740,20,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Infineon 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2406.7,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Infineon,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
